_id,subject.name,subject.value.alphabet,subject.value.length,results.Style_oriented.performance,results.Style_oriented.rme,results.Performance_oriented.performance,results.Performance_oriented.rme,results.Old.performance,results.Old.rme
5fe37e3ee26ecd0496cece7d,subjects,ABCDE,4,60961.987814683205,1.4890022576064783,90233.71628612788,0.8382998289588078,79492.96528856171,0.5737513860691703
5fe37e3fe26ecd0496cece7f,subjects,ABCDE,1,1439581.0760317133,2.10624776329379,5429430.158041997,0.7390349981413176,2698302.161266943,0.5118930535582147
5fe37e3fe26ecd0496cece81,subjects,ABCDE,2,579575.2167210431,2.300862163358611,1552651.2745987845,0.658407508951325,1079468.6238343455,0.8149520706430858
5fe37e40e26ecd0496cece83,subjects,ABCDE,3,214149.98179783422,1.837178630352192,392028.70747684635,0.6903017145998604,335621.07876467664,0.7221613620143454
5fe37e40e26ecd0496cece85,subjects,ABCDE,5,15905.900671512576,3.088250260524101,18894.83429212921,0.9170615351977308,17165.893437196606,0.58468132182411
5fe37f3ae26ecd0496cece87,subjects,ABCDE,2,577325.0804041149,1.0740372943255991,1573923.769784071,0.46609418857101076,1056621.098878856,1.8770113004498319
5fe37f3be26ecd0496cece89,subjects,ABCDE,5,16036.89456982101,1.13329946035086,19058.31411423522,0.31124761957339603,16614.87666553862,0.44112896915327615
5fe37f3ce26ecd0496cece8b,subjects,ABCDE,4,60781.89359306995,1.1560069453572104,90535.71502315634,0.32307931912395804,77635.96770718473,0.4647172959542555
5fe37f3ce26ecd0496cece8d,subjects,ABCDE,3,214753.22477803545,0.9627419595094906,392576.4562130192,0.5177614303269936,327042.5948476525,1.151263831193362
5fe37f3de26ecd0496cece8f,subjects,ABCDE,1,1439265.824654972,0.8874075756979791,5587786.854148072,0.5006396805894338,2662787.7415067633,0.5908469254603278
5fe37fb5e26ecd0496cece91,subjects,ABCDE123,5,1157.7463529345985,0.9816117992275257,1793.2519511929768,0.7978411913813633,1580.6936391455038,1.2911755381388224
5fe37fb5e26ecd0496cece93,subjects,ABCDE123,2,195771.49394744344,1.8820994926225205,679018.5405118526,0.5707882634273052,534031.9613248197,4.640429430931026
5fe37fb8e26ecd0496cece95,subjects,ABCDE123,1,749365.348818131,2.1636995927432787,3816405.326253698,0.6143034004488074,2132264.6802658485,1.6015354560634445
5fe37fb8e26ecd0496cece98,subjects,ABCDE123,3,42124.50842344339,1.0426001292201308,105726.37161405242,0.4713930195813836,92118.83406326498,1.246484299548397
5fe37fb8e26ecd0496cece99,subjects,ABCDE123,4,7283.976295765537,0.9544085844455281,14173.571018614166,0.78269205981715,12493.290993137469,1.6605247516547645